,Öğrenci_Bilgisi,Not_Bilgisi
865,"Bailey, Kirsten",70.0
866,"Sullivan, Thomas",74.0
867,"Cunningham, Kimberly",67.0
868,"Harper, Adrianna",79.0
869,"Richardson, Victor",91.0
870,"Farrell, Arthur",81.0
871,"Cameron, Edith",78.0
872,"Wright, Owen",95.0
873,"Clark, Sabrina",100.0
874,"Wright, Camila",66.0
875,"Higgins, Caroline",100.0
876,"Hill, Edith",76.0
877,"Brooks, William",62.0
878,"Murphy, Vivian",43.0
879,"Kelley, Adrianna",76.0
880,"Cooper, Amelia",77.0
881,"Kelley, Stuart",61.0
882,"Roberts, Emma",67.0
883,"Perkins, Joyce",58.0
884,"Roberts, Preston",64.0
885,"Martin, Elian",90.0
886,"Taylor, Byron",55.0
887,"Riley, Maximilian",83.0
888,"Hall, Aida",99.0
889,"Holmes, Caroline",40.0
890,"Chapman, Charlie",84.0
891,"Mitchell, David",39.0
892,"Tucker, Cherry",35.0
893,"Allen, Ryan",49.0
894,"Gray, Henry",54.0
895,"Cooper, Stella",79.0
896,"Roberts, Elian",80.0
897,"West, Preston",50.0
898,"Dixon, Kelvin",90.0
899,"Allen, Kellan",52.0
900,"Owens, Penelope",47.0
901,"Fowler, Alisa",68.0
902,"Wells, Garry",39.0
903,"Miller, Brad",58.0
904,"West, Vanessa",87.0
905,"Phillips, Tony",70.0
906,"Carter, Elise",76.0
907,"Phillips, Jessica",59.0
908,"Anderson, William",71.0
909,"Hawkins, Freddie",92.0
910,"Anderson, Lilianna",57.0
911,"Harris, Melissa",65.0
912,"Harris, Nicholas",64.0
913,"Baker, Ada",71.0
914,"Fowler, Ryan",54.0
915,"Stewart, Lily",76.0
916,"Wilson, Reid",60.0
917,"Henderson, Antony",66.0
918,"Martin, Richard",67.0
919,"Williams, Sawyer",86.0
920,"Carter, George",73.0
921,"Spencer, Fenton",94.0
922,"Anderson, Roland",95.0
923,"Ellis, Ashton",49.0
924,"Ross, Daryl",70.0
925,"Ryan, Carlos",70.0
926,"Anderson, Amber",87.0
927,"Farrell, Nicholas",44.0
928,"Fowler, Tyler",84.0
929,"Carroll, Alissa",75.0
930,"Murphy, Martin",86.0
931,"Foster, Natalie",53.0
932,"Evans, Gianna",93.0
933,"Moore, Arnold",58.0
934,"Ryan, Justin",70.0
935,"Adams, Melissa",69.0
936,"Gibson, Derek",76.0
937,"Carter, Fenton",61.0
938,"Taylor, Jasmine",92.0
939,"Gibson, Alen",83.0
940,"Foster, Kelsey",85.0
941,"Elliott, Daniel",65.0
942,"Davis, Henry",72.0
943,"Baker, Roland",89.0
944,"Ferguson, Thomas",60.0
945,"Baker, Ryan",85.0
946,"West, Isabella",55.0
947,"Taylor, Rubie",47.0
948,"Armstrong, Elian",59.0
949,"Warren, Owen",61.0
950,"Moore, Tess",100.0
951,"Martin, Vanessa",94.0
952,"Henderson, Vanessa",96.0
953,"Armstrong, Belinda",54.0
954,"Davis, Ellia",84.0
955,"Ferguson, Camila",70.0
956,"Higgins, Olivia",63.0
957,"Foster, Melanie",64.0
958,"Wells, Jenna",52.0
959,"Spencer, Myra",78.0
960,"Bennett, Kimberly",49.0
961,"Stevens, Edith",95.0
962,"Richardson, Lucas",100.0
963,"Stevens, Kellan",100.0
964,"Hall, Kirsten",64.0
965,"Gray, April",59.0
966,"Wright, Thomas",59.0
967,"Douglas, Rafael",44.0
968,"Armstrong, Stella",80.0
969,"Morrison, Owen",90.0
970,"Ryan, Michael",69.0
971,"Hawkins, Wilson",72.0
972,"Perkins, Amelia",60.0
973,"Sullivan, Kellan",92.0
974,"Turner, Amanda",61.0
975,"Cameron, Roland",70.0
976,"Hunt, Maria",94.0
977,"Taylor, Alissa",55.0
978,"Watson, Charlie",66.0
979,"Wilson, Miley",46.0
980,"Casey, Alexia",64.0
981,"Morrison, Marcus",94.0
982,"Tucker, Byron",61.0
983,"Kelly, Alan",86.0
984,"Cole, Julia",71.0
985,"Bailey, Catherine",88.0
986,"West, Anna",77.0
987,"Johnston, Antony",53.0
988,"Fowler, Frederick",64.0
989,"Brooks, Stella",78.0
990,"Johnson, Tiana",77.0
991,"Jones, Antony",72.0
992,"Riley, Martin",67.0
993,"Hall, Arnold",33.0
994,"Chapman, Alissa",76.0
995,"Warren, Adam",70.0
996,"Ellis, Patrick",62.0
997,"Brown, Kelsey",43.0
998,"Moore, Victoria",80.0
999,"Holmes, Kimberly",45.0
1000,"Wilson, Joyce",60.0
1001,"Stevens, Vivian",84.0
1002,"Morrison, Penelope",91.0
1003,"Howard, Tony",87.0
1004,"Smith, Walter",66.0
1005,"Crawford, Aida",87.0
1006,"Cooper, Alexia",44.0
1007,"Kelley, Henry",79.0
1008,"Scott, Eleanor",81.0
1009,"Moore, Tony",71.0
1010,"Cole, Vanessa",46.0
1011,"Morrison, Isabella",88.0
1012,"Harrison, Victoria",55.0
1013,"Stevens, Kelsey",65.0
1014,"Murphy, Victoria",42.0
1015,"West, Eleanor",62.0
1016,"Roberts, Charlotte",91.0
1017,"Crawford, Agata",69.0
1018,"Hunt, Melissa",69.0
1019,"Barrett, Walter",64.0
1020,"Payne, Elise",21.0
1021,"Crawford, Marcus",87.0
1022,"Watson, Nicholas",74.0
1023,"Watson, Joyce",68.0
1024,"Reed, Alen",56.0
1025,"Carroll, Daryl",50.0
1026,"Allen, Reid",43.0
1027,"Douglas, Patrick",64.0
1028,"Gray, Clark",42.0
1029,"Elliott, Walter",78.0
1030,"Ross, Samantha",67.0
1031,"Sullivan, Adrianna",71.0
1032,"Barrett, Steven",87.0
1033,"Roberts, Henry",51.0
1034,"Cooper, Kristian",85.0
1035,"Richards, Kelvin",64.0
1036,"Tucker, Adrianna",58.0
1037,"Brown, Vivian",85.0
1038,"Moore, Spike",47.0
1039,"Brooks, Lucia",71.0
1040,"Richardson, Tess",80.0
1041,"Turner, Annabella",71.0
1042,"Mitchell, Tess",52.0
1043,"Richards, Spike",86.0
1044,"Hunt, Thomas",91.0
1045,"Johnston, Justin",60.0
1046,"Stewart, Amelia",74.0
1047,"Ryan, Preston",56.0
1048,"Elliott, Garry",61.0
1049,"Armstrong, Steven",77.0
1050,"Chapman, Albert",73.0
1051,"Hill, Martin",84.0
1052,"Stewart, Oscar",88.0
1053,"Ferguson, Melanie",78.0
1054,"Jones, Adam",95.0
1055,"Alexander, William",38.0
1056,"Elliott, Joyce",61.0
1057,"Wright, Kelvin",52.0
1058,"Fowler, Edgar",51.0
1059,"Evans, Kelsey",71.0
1060,"Harper, Thomas",94.0
1061,"Barnes, Adrianna",85.0
1062,"Ellis, Clark",66.0
1063,"Brown, Alisa",53.0
1064,"Russell, Chloe",45.0
1065,"Murphy, Brad",76.0
1066,"Brown, Valeria",87.0
1067,"Wells, Natalie",76.0
1068,"Davis, Arthur",63.0
1069,"Mitchell, Kirsten",90.0
1070,"Gibson, Vanessa",71.0
1071,"Miller, Kelsey",80.0
1072,"Owens, Kristian",53.0
1073,"Payne, Vivian",89.0
1074,"Russell, Brad",72.0
1075,"Stewart, Henry",67.0
1076,"Holmes, Arthur",73.0
1077,"Ferguson, Amber",62.0
1078,"Martin, Lana",62.0
1079,"Ross, Alen",68.0
1080,"Thompson, Alford",66.0
1081,"Gibson, Lana",48.0
1082,"Payne, Arthur",80.0
1083,"Barnes, Steven",74.0
1084,"Murray, Sarah",65.0
1085,"Harris, Alisa",74.0
1086,"Morrison, Frederick",60.0
1087,"Ross, Stuart",63.0
1088,"Thompson, Briony",61.0
1089,"Allen, Derek",33.0
1090,"Harper, Lucas",89.0
1091,"Baker, Owen",48.0
1092,"Martin, Ada",70.0
1093,"Barnes, Fenton",72.0
1094,"Holmes, Lilianna",83.0
1095,"Crawford, Martin",50.0
1096,"Spencer, Eleanor",75.0
1097,"Alexander, Lilianna",70.0
1098,"Carter, Alexia",75.0
1099,"Carter, Amber",49.0
1100,"Phillips, Melissa",78.0
1101,"Reed, Kelvin",73.0
1102,"Cole, Freddie",69.0
1103,"Spencer, Kristian",74.0
1104,"Wilson, Jessica",72.0
1105,"Jones, Maddie",29.0
1106,"Cooper, Garry",89.0
1107,"Harris, Justin",56.0
1108,"Harris, Maximilian",85.0
1109,"Hunt, Sawyer",97.0
1110,"Hawkins, Walter",43.0
1111,"Hill, Aida",74.0
1112,"Watson, Alexia",78.0
1113,"Cunningham, Lilianna",92.0
1114,"Howard, Amber",39.0
1115,"Payne, Charlotte",36.0
1116,"Ferguson, Maria",76.0
1117,"Moore, Charlotte",74.0
1118,"Myers, Julia",77.0
1119,"Howard, Eleanor",57.0
1120,"Ross, Patrick",79.0
1121,"Moore, Ada",67.0
1122,"Russell, Natalie",64.0
1123,"Harrison, Vivian",74.0
1124,"Stevens, Miley",34.0
1125,"Farrell, Olivia",59.0
1126,"Hill, Emma",90.0
1127,"Gibson, Victoria",80.0
1128,"Owens, Victoria",59.0
1129,"Richards, Olivia",88.0
1130,"Elliott, Owen",84.0
1131,"Mitchell, Lily",63.0
1132,"Riley, Adam",81.0
1133,"Spencer, Henry",73.0
1134,"Stewart, Charlotte",75.0
1135,"Phillips, Brooke",85.0
1136,"Sullivan, Alford",81.0
1137,"Fowler, Alissa",65.0
1138,"Hill, Tara",58.0
1139,"Farrell, Alford",55.0
1140,"Hawkins, Fenton",89.0
1141,"Kelly, Victor",75.0
1142,"Kelly, Arthur",78.0
1143,"Allen, Gianna",64.0
1144,"Kelley, Samantha",71.0
1145,"Morrison, Melissa",50.0
1146,"Williams, Miley",87.0
1147,"Dixon, Caroline",52.0
1148,"Tucker, Alan",46.0
1149,"Spencer, Carlos",65.0
1150,"Carter, Ryan",46.0
1151,"Wright, Stuart",84.0
1152,"Henderson, Paige",57.0
1153,"Ferguson, William",91.0
1154,"Cooper, Caroline",59.0
1155,"Alexander, Michael",100.0
1156,"Carter, Samantha",50.0
1157,"Wells, Derek",69.0
1158,"Payne, Olivia",77.0
1159,"Turner, Antony",55.0
1160,"Mitchell, Garry",91.0
1161,"Crawford, Charlie",75.0
1162,"Richards, Amelia",84.0
1163,"Baker, Maximilian",53.0
1164,"Richards, Emma",91.0
1165,"Brooks, Vivian",90.0
1166,"Davis, Melissa",52.0
1167,"Ryan, Aldus",68.0
1168,"Carter, Abigail",83.0
1169,"Payne, Abigail",66.0
1170,"Cole, Tyler",61.0
1171,"Cunningham, Ada",100.0
1172,"Sullivan, Adrian",44.0
1173,"West, Tyler",91.0
1174,"Gray, James",70.0
1175,"Martin, George",93.0
1176,"Hawkins, Adrianna",59.0
1177,"Holmes, Jasmine",82.0
1178,"Douglas, Adrian",57.0
1179,"Evans, Amber",72.0
1180,"Baker, Fenton",89.0
1181,"Stewart, Thomas",74.0
1182,"Foster, David",73.0
1183,"Hall, Alexia",85.0
1184,"Gray, Daisy",40.0
1185,"Holmes, Myra",83.0
1186,"Clark, Amy",50.0
1187,"Harrison, Elian",100.0
1188,"Allen, Bruce",50.0
1189,"Campbell, Lucas",67.0
1190,"Richards, Edith",56.0
1191,"Bailey, April",64.0
1192,"Hill, Catherine",94.0
1193,"Carter, Eleanor",83.0
1194,"Johnson, Jasmine",47.0
1195,"Chapman, Oliver",76.0
1196,"Kelly, Lana",73.0
1197,"Dixon, Kellan",72.0
1198,"Baker, Oscar",64.0
1199,"Gray, Steven",64.0
1200,"Owens, Dominik",66.0
1201,"Hunt, Natalie",66.0
1202,"Bailey, Nicholas",78.0
1203,"Adams, Kristian",46.0
1204,"Smith, Freddie",79.0
1205,"Casey, Samantha",80.0
1206,"Armstrong, George",85.0
1207,"Foster, Marcus",43.0
1208,"Harris, Vanessa",49.0
1209,"Carroll, Gianna",71.0
1210,"Cooper, George",57.0
1211,"Taylor, Victoria",56.0
1212,"Davis, Penelope",91.0
1213,"Hawkins, Cadie",91.0
1214,"Alexander, Olivia",80.0
1215,"Chapman, Kristian",71.0
1216,"Allen, William",70.0
1217,"Jones, Gianna",54.0
1218,"Ferguson, Olivia",66.0
1219,"Harrison, Kimberly",57.0
1220,"Harrison, Kirsten",83.0
1221,"Henderson, Fenton",56.0
1222,"Armstrong, Jasmine",45.0
1223,"Perkins, Alford",84.0
1224,"Cooper, Jenna",75.0
1225,"Dixon, George",80.0
1226,"Harper, Cadie",62.0
1227,"Phillips, Alan",93.0
1228,"West, Amber",71.0
1229,"Cole, Isabella",9.0
1230,"Moore, Penelope",64.0
1231,"Phillips, Carina",78.0
1232,"Johnston, Thomas",65.0
1233,"Cunningham, Edgar",53.0
1234,"Smith, Jared",43.0
1235,"Ferguson, Samantha",85.0
1236,"Campbell, Aldus",61.0
1237,"Kelly, Kelsey",70.0
1238,"Henderson, Henry",54.0
1239,"Barrett, Thomas",94.0
1240,"Roberts, Walter",71.0
1241,"Ferguson, Steven",73.0
1242,"Richardson, Clark",64.0
1243,"Johnson, Annabella",36.0
1244,"Sullivan, Miley",75.0
1245,"Hunt, Ryan",70.0
1246,"Ross, Annabella",84.0
1247,"Stevens, Caroline",72.0
1248,"Harris, Gianna",53.0
1249,"Russell, Julia",70.0
1250,"Hunt, Carlos",89.0
1251,"Holmes, Abigail",78.0
1252,"Wright, George",88.0
1253,"Perkins, Tess",88.0
1254,"Adams, Amelia",83.0
1255,"Alexander, Joyce",54.0
1256,"Mitchell, Marcus",84.0
1257,"Martin, Naomi",69.0
1258,"Allen, Tyler",93.0
1259,"Allen, Ada",72.0
1260,"Phillips, Elise",71.0
1261,"Hill, Ellia",80.0
1262,"Gibson, Sarah",88.0
1263,"Thompson, Natalie",71.0
1264,"Kelly, Jared",63.0
1265,"Perkins, Myra",60.0
1266,"Richards, Clark",81.0
1267,"Douglas, Kelsey",91.0
1268,"Evans, Kristian",84.0
1269,"Sullivan, Vivian",96.0
1270,"West, Alexia",88.0
1271,"Evans, Joyce",58.0
1272,"Ryan, Ted",87.0
1273,"Spencer, Paige",79.0
1274,"Foster, Derek",49.0
1275,"Holmes, Reid",56.0
1276,"Dixon, Tony",64.0
1277,"Riley, Oscar",78.0
1278,"Carroll, Oliver",65.0
1279,"Roberts, Amber",78.0
1280,"Williams, Myra",86.0
1281,"Cole, Frederick",50.0
1282,"Stewart, Jared",57.0
1283,"Smith, David",56.0
1284,"Gibson, Eleanor",82.0
1285,"Douglas, Abigail",51.0
1286,"Watson, Aida",71.0
1287,"Murphy, Adrian",100.0
1288,"Kelly, Clark",61.0
1289,"Dixon, Reid",62.0
1290,"Clark, Catherine",58.0
1291,"Baker, Joyce",71.0
1292,"Brooks, Jenna",59.0
1293,"Murray, Agata",88.0
1294,"Elliott, Tony",69.0
1295,"Miller, Briony",62.0
1296,"Hall, Bruce",30.0
1297,"Farrell, Naomi",64.0
1298,"Brown, Ellia",76.0
1299,"Fowler, Eddy",90.0
1300,"Bennett, Roland",54.0
1301,"Turner, Michael",63.0
1302,"Spencer, Derek",77.0
1303,"Johnson, Kristian",67.0
1304,"Russell, Kellan",77.0
1305,"Clark, Daniel",84.0
1306,"Allen, Lily",100.0
1307,"Riley, Thomas",100.0
1308,"Carter, Reid",82.0
1309,"Campbell, Alisa",78.0
1310,"Howard, Elise",57.0
1311,"Chapman, Byron",78.0
1312,"Stewart, Rafael",65.0
1313,"Martin, Stuart",99.0
1314,"Murphy, Brooke",53.0
1315,"Sullivan, Ada",62.0
1316,"Myers, Maria",61.0
1317,"Scott, Adam",66.0
1318,"Barnes, Annabella",55.0
1319,"Ellis, Valeria",65.0
1320,"Ellis, Lana",65.0
1321,"Carroll, Jasmine",72.0
1322,"Payne, Melissa",44.0
1323,"Richards, Charlie",68.0
1324,"Myers, Henry",76.0
1325,"Scott, Amber",95.0
1326,"Elliott, Vivian",91.0
1327,"Ferguson, Belinda",61.0
1328,"Sullivan, Olivia",69.0
1329,"Mitchell, Thomas",80.0
1330,"Hunt, Marcus",59.0
1331,"Mitchell, Kristian",84.0
1332,"Warren, Agata",35.0
1333,"Smith, Cherry",99.0
1334,"Smith, Alford",82.0
1335,"Gray, George",61.0
1336,"Campbell, Antony",92.0
1337,"Stevens, Oscar",58.0
1338,"Taylor, George",72.0
1339,"Douglas, Catherine",92.0
1340,"Elliott, Alisa",33.0
1341,"Ellis, Fenton",38.0
1342,"Johnston, Steven",46.0
1343,"Miller, Miley",89.0
1344,"Hall, Jack",77.0
1345,"Phillips, Ada",67.0
1346,"Turner, Charlie",66.0
1347,"Adams, Lilianna",35.0
1348,"Turner, Lana",76.0
1349,"Carter, Victoria",52.0
1350,"Wright, Edgar",70.0
1351,"Spencer, Aida",73.0
1352,"Martin, Lily",55.0
1353,"Taylor, Jessica",56.0
1354,"Chapman, Victor",51.0
1355,"Holmes, Adrianna",85.0
1356,"Elliott, Melanie",86.0
1357,"Sullivan, Wilson",69.0
1358,"Murphy, Wilson",63.0
1359,"Howard, Sawyer",74.0
1360,"Payne, Annabella",59.0
1361,"Barnes, Reid",76.0
1362,"Wells, Nicholas",62.0
1363,"Reed, Alford",63.0
1364,"Bennett, Penelope",43.0
1365,"Cunningham, Elise",95.0
1366,"Henderson, Stella",100.0
1367,"Davis, Lilianna",12.0
1368,"Harris, Dominik",35.0
1369,"Perkins, Briony",61.0
1370,"Myers, Carlos",72.0
1371,"Johnson, Joyce",62.0
1372,"Harris, Tiana",51.0
1373,"Gray, Isabella",80.0
1374,"Riley, Tiana",80.0
1375,"Harrison, Belinda",90.0
1376,"Alexander, Ted",62.0
1377,"West, Belinda",82.0
1378,"Kelly, Thomas",59.0
1379,"Spencer, Michael",86.0
1380,"Warren, Frederick",57.0
1381,"Moore, Frederick",78.0
1382,"Bennett, Byron",71.0
1383,"Hawkins, Edgar",87.0
1384,"Dixon, Michael",61.0
1385,"Evans, Tara",59.0
1386,"Wilson, Freddie",85.0
1387,"Carroll, Lana",72.0
1388,"West, Ryan",39.0
1389,"Fowler, Adam",86.0
1390,"Moore, Catherine",65.0
1391,"Murray, Daryl",100.0
1392,"Watson, Kelvin",50.0
1393,"Alexander, Cherry",71.0
1394,"West, Paige",91.0
1395,"Higgins, Kirsten",75.0
1396,"Ferguson, Adrianna",73.0
1397,"Hunt, Garry",62.0
1398,"Morrison, Martin",48.0
1399,"Baker, Lucas",63.0
1400,"Ferguson, Ada",49.0
1401,"Chapman, Derek",46.0
1402,"Martin, April",81.0
1403,"Taylor, Cherry",79.0
1404,"Higgins, Carina",55.0
1405,"Kelly, Byron",64.0
1406,"Johnson, Ada",86.0
1407,"Brooks, Maria",61.0
1408,"Farrell, Maddie",73.0
1409,"Casey, Isabella",49.0
1410,"Ross, Alisa",88.0
1411,"Gray, Roland",67.0
1412,"Fowler, Emma",69.0
1413,"Phillips, Kirsten",53.0
1414,"Harris, Camila",53.0
1415,"Hunt, Victor",73.0
1416,"Bennett, William",41.0
1417,"Moore, Kellan",79.0
1418,"Cunningham, Antony",78.0
1419,"Howard, Naomi",57.0
1420,"Carroll, Briony",64.0
1421,"Richardson, Agata",100.0
1422,"Roberts, William",92.0
1423,"Harrison, Victor",70.0
1424,"Phillips, Marcus",71.0
1425,"Howard, Catherine",58.0
1426,"Spencer, Abigail",65.0
1427,"Davis, Natalie",49.0
1428,"Ferguson, Frederick",89.0
1429,"Casey, Abigail",79.0
1430,"Holmes, Ted",62.0
1431,"Gibson, Kellan",100.0
1432,"Reed, Alexia",71.0
1433,"Spencer, Lilianna",48.0
1434,"Tucker, Fenton",91.0
1435,"Campbell, Freddie",84.0
1436,"Roberts, Tiana",52.0
1437,"Allen, Owen",75.0
1438,"Allen, Antony",49.0
1439,"Barnes, Spike",52.0
1440,"Alexander, Lana",70.0
1441,"Payne, Amy",60.0
1442,"Riley, Freddie",52.0
1443,"Cole, Dominik",74.0
1444,"Cole, Oscar",85.0
1445,"Brooks, Lana",54.0
1446,"Farrell, Victor",79.0
1447,"Hunt, Alen",77.0
1448,"Richards, Daniel",82.0
1449,"Ross, Maddie",90.0
1450,"Hill, Stuart",70.0
1451,"Crawford, Briony",46.0
1452,"Murray, Sawyer",80.0
1453,"Dixon, Natalie",78.0
1454,"Cole, Annabella",61.0
1455,"Elliott, Edgar",64.0
1456,"Cameron, Charlie",78.0
1457,"Ellis, David",98.0
1458,"Roberts, Lucas",88.0
1459,"Kelly, Amanda",54.0
1460,"Davis, Oliver",71.0
1461,"Smith, Lucas",48.0
1462,"Carter, Jack",93.0
1463,"Cole, Kirsten",79.0
1464,"Reed, Penelope",87.0
1465,"Hawkins, Thomas",95.0
1466,"Foster, Lucas",51.0
1467,"Bailey, Jasmine",61.0
1468,"Douglas, Owen",64.0
1469,"Alexander, Nicholas",67.0
1470,"Owens, Brooke",81.0
1471,"West, Melissa",59.0
1472,"Henderson, Reid",100.0
1473,"Casey, Vanessa",48.0
1474,"Perkins, Edgar",81.0
1475,"Kelly, Maximilian",80.0
1476,"West, Steven",72.0
1477,"Stewart, Dominik",50.0
1478,"Scott, Maximilian",79.0
1479,"Sullivan, Natalie",51.0
1480,"Watson, Briony",58.0
1481,"Bailey, Caroline",68.0
1482,"Richards, Adrianna",81.0
1483,"Gibson, Cherry",100.0
1484,"Wells, Maximilian",98.0
1485,"Smith, Camila",73.0
1486,"Chapman, Kirsten",45.0
1487,"Fowler, Tony",49.0
1488,"Carter, Kellan",100.0
1489,"Martin, Freddie",70.0
1490,"Anderson, Abigail",80.0
1491,"Scott, Stuart",40.0
1492,"Murphy, Isabella",60.0
1493,"Casey, Maximilian",64.0
1494,"Turner, Lucia",73.0
1495,"Johnson, Lucas",78.0
1496,"Crawford, Kelsey",57.0
1497,"Howard, Justin",54.0
1498,"Sullivan, Jared",67.0
1499,"Campbell, Briony",87.0
1500,"Barrett, Carlos",61.0
1501,"Ferguson, Eleanor",94.0
1502,"Foster, Victoria",47.0
1503,"Murphy, Oliver",94.0
1504,"Kelley, Tess",97.0
1505,"Stevens, Melanie",48.0
1506,"Williams, Arnold",87.0
1507,"Richardson, Ellia",80.0
1508,"Sullivan, Sabrina",86.0
1509,"Hawkins, Lana",61.0
1510,"Farrell, Brad",38.0
1511,"Warren, Tess",57.0
1512,"Campbell, Michael",85.0
1513,"Jones, Ada",88.0
1514,"Martin, Miley",58.0
1515,"Allen, Maria",72.0
1516,"Harris, Abigail",94.0
1517,"Ellis, Spike",64.0
1518,"Hill, Antony",70.0
1519,"Chapman, Richard",71.0
1520,"Smith, Marcus",73.0
1521,"Elliott, Preston",63.0
1522,"Roberts, Vanessa",61.0
1523,"Perkins, James",69.0
1524,"Warren, Melanie",67.0
1525,"Russell, Alen",71.0
1526,"Riley, Preston",87.0
1527,"Williams, Carina",68.0
1528,"Ryan, Belinda",46.0
1529,"Wright, Oliver",99.0
1530,"Anderson, Elian",48.0
1531,"Gibson, Agata",70.0
1532,"Baker, Annabella",89.0
1533,"Ross, Naomi",77.0
1534,"Cooper, Eddy",71.0
1535,"Campbell, Marcus",74.0
1536,"Kelly, Sarah",71.0
1537,"Casey, Amanda",66.0
1538,"Mitchell, Amelia",58.0
1539,"Casey, Wilson",71.0
1540,"Smith, Oscar",89.0
1541,"Armstrong, April",71.0
1542,"Scott, Melissa",82.0
1543,"Carter, Bruce",56.0
1544,"Morrison, Amelia",80.0
1545,"Brooks, Eleanor",66.0
1546,"Cunningham, Gianna",62.0
1547,"Brooks, Brad",80.0
1548,"Ellis, Amy",96.0
1549,"West, Lana",60.0
1550,"Hunt, Patrick",63.0
1551,"Morrison, Oliver",89.0
1552,"Murray, Kellan",65.0
1553,"Cunningham, Garry",68.0
1554,"Cooper, Kellan",59.0
1555,"Cunningham, Richard",77.0
1556,"Watson, Brad",87.0
1557,"Chapman, Lilianna",26.0
1558,"Mitchell, Clark",71.0
1559,"Henderson, Lana",79.0
1560,"Spencer, Elian",68.0
1561,"Higgins, Adam",38.0
1562,"Taylor, Stuart",52.0
1563,"Carroll, Adrianna",45.0
1564,"Fowler, Maddie",65.0
1565,"Ryan, Briony",100.0
1566,"Brooks, Cherry",58.0
1567,"Russell, Alford",88.0
1568,"Hill, Jared",90.0
1569,"Warren, Richard",62.0
1570,"Henderson, Dominik",82.0
1571,"Fowler, Joyce",80.0
1572,"Taylor, Amanda",64.0
1573,"Sullivan, Jessica",69.0
1574,"Farrell, Eddy",63.0
1575,"Fowler, Spike",86.0
1576,"Johnson, Amelia",69.0
1577,"Stewart, Elise",77.0
1578,"Harris, Carina",63.0
1579,"Wilson, Elise",56.0
1580,"Jones, Albert",97.0
1581,"Roberts, Eddy",51.0
1582,"Payne, Walter",46.0
1583,"Harper, Jack",52.0
1584,"Fowler, Jenna",68.0
1585,"Evans, Victoria",100.0
1586,"Phillips, Jack",81.0
1587,"Riley, Lily",51.0
1588,"Williams, Olivia",66.0
1589,"Harrison, Maximilian",61.0
1590,"Taylor, Daniel",83.0
1591,"Johnston, Fenton",80.0
1592,"Higgins, Roland",68.0
1593,"Crawford, Amelia",65.0
1594,"Barrett, Ryan",76.0
1595,"Smith, Tiana",93.0
1596,"Ferguson, Derek",88.0
1597,"Hawkins, Valeria",75.0
1598,"Moore, Wilson",76.0
1599,"Harper, Ryan",70.0
1600,"Johnson, Myra",78.0
1601,"Wright, Preston",65.0
1602,"Stevens, Samantha",72.0
1603,"Tucker, Olivia",51.0
1604,"Wright, Jenna",39.0
1605,"Elliott, Maximilian",69.0
1606,"Higgins, Reid",46.0
1607,"Foster, Bruce",86.0
1608,"Morrison, Reid",69.0
1609,"Martin, Melissa",100.0
1610,"Brooks, Preston",72.0
1611,"Wells, Annabella",75.0
1612,"Henderson, Nicholas",93.0
1613,"Wright, Antony",93.0
1614,"Brown, Patrick",100.0
1615,"Higgins, Stuart",83.0
1616,"Alexander, Sabrina",75.0
1617,"Farrell, Chloe",58.0
1618,"Phillips, Nicholas",98.0
1619,"Hall, Ada",100.0
1620,"Clark, Maddie",54.0
1621,"Payne, Jessica",92.0
1622,"Brooks, Byron",48.0
1623,"Reed, Oliver",76.0
1624,"Spencer, Cherry",93.0
1625,"Foster, Valeria",62.0
1626,"Howard, Walter",80.0
1627,"Ferguson, Nicholas",38.0
1628,"Sullivan, Albert",100.0
1629,"Spencer, Charlie",85.0
1630,"Cole, Naomi",90.0
1631,"Williams, Elian",55.0
1632,"Warren, Aldus",78.0
1633,"Bailey, Marcus",61.0
1634,"Elliott, Adrian",75.0
1635,"Perry, Emma",85.0
1636,"Adams, Arthur",100.0
1637,"Bennett, Adrianna",77.0
1638,"Brooks, Joyce",70.0
1639,"Mitchell, Antony",67.0
1640,"Morrison, Edgar",61.0
1641,"Howard, Nicholas",90.0
1642,"Carter, Kirsten",84.0
1643,"Howard, Stella",52.0
1644,"Williams, Kelvin",62.0
1645,"Ross, Alexia",55.0
1646,"Allen, Adrianna",81.0
1647,"Richardson, Daniel",63.0
1648,"Armstrong, Charlie",71.0
1649,"Ryan, Edgar",62.0
1650,"Cunningham, Miley",84.0
1651,"Phillips, Isabella",97.0
1652,"Fowler, Anna",96.0
1653,"Perkins, Maximilian",80.0
1654,"Tucker, Martin",72.0
1655,"West, Edith",62.0
1656,"Riley, Patrick",54.0
1657,"Jones, Daryl",69.0
1658,"Richards, Adam",49.0
1659,"Tucker, Gianna",65.0
1660,"Jones, Aldus",49.0
1661,"Harper, Derek",70.0
1662,"Cunningham, Kirsten",55.0
1663,"Richardson, Alisa",69.0
1664,"Carroll, Ellia",63.0
1665,"Wilson, Briony",52.0
1666,"Perkins, Jessica",94.0
1667,"Perry, Penelope",70.0
1668,"Ferguson, Maddie",52.0
1669,"Thompson, Catherine",61.0
1670,"Stewart, Reid",83.0
1671,"Barrett, Joyce",49.0
1672,"Taylor, Maria",82.0
1673,"Howard, Garry",70.0
1674,"Higgins, Sarah",71.0
1675,"Wilson, Agata",97.0
1676,"Hill, Adrian",68.0
1677,"Taylor, Kristian",58.0
1678,"Allen, Oscar",44.0
1679,"Ryan, Maximilian",96.0
